# Column 1: log10 H2 [Msun/pc2]
# Column 2: log10 SFR [Msun/yr/kpc2]
# Column 3: Reference
1.3058358 -2.2868710 HERACLES
1.3631954 -2.3697448 HERACLES
1.3538824 -2.3661661 HERACLES
1.3289311 -2.2866321 HERACLES
1.3287306 -2.1743939 HERACLES
1.2230358 -2.2097576 HERACLES
1.1790787 -2.3890350 HERACLES
1.2658297 -2.2511318 HERACLES
1.2154478 -2.2192509 HERACLES
1.0239723 -2.5084944 HERACLES
0.67110270 -2.8655388 HERACLES
0.70329416 -2.9348593 HERACLES
0.68480462 -2.7674379 HERACLES
0.42854837 -2.6220925 HERACLES
0.38369709 -2.7390449 HERACLES
0.37654960 -2.8442488 HERACLES
0.73454648 -2.8978434 HERACLES
0.59549475 -2.8191869 HERACLES
0.65459508 -2.7016389 HERACLES
0.92668551 -2.4642725 HERACLES
1.2421091 -2.1731009 HERACLES
1.3549041 -2.0394433 HERACLES
1.2726947 -2.1411116 HERACLES
1.2255424 -2.2775104 HERACLES
1.3190876 -2.2524550 HERACLES
1.4034269 -2.2380266 HERACLES
1.4446783 -2.2661355 HERACLES
1.4103854 -2.2658899 HERACLES
1.3628781 -2.2230332 HERACLES
1.3150969 -2.1703448 HERACLES
1.2053125 -2.2805429 HERACLES
1.2515149 -2.3938050 HERACLES
1.2973633 -2.2892346 HERACLES
1.1415848 -2.4273937 HERACLES
0.86183524 -2.7818615 HERACLES
0.45374319 -2.9413867 HERACLES
0.40036505 -2.9184194 HERACLES
0.68242818 -2.8482518 HERACLES
0.76942194 -2.6556139 HERACLES
0.57996470 -2.6263182 HERACLES
0.36032391 -2.7356861 HERACLES
0.46871167 -2.6514287 HERACLES
0.47422260 -2.8839917 HERACLES
0.61969066 -2.8469303 HERACLES
0.70303398 -2.6641021 HERACLES
0.93272299 -2.5028729 HERACLES
1.1752335 -2.3479373 HERACLES
1.3351301 -2.2227504 HERACLES
1.3224510 -2.1736546 HERACLES
1.2475576 -2.1485965 HERACLES
1.3196906 -2.1630690 HERACLES
1.3778431 -2.1681349 HERACLES
1.4559182 -2.0537889 HERACLES
1.4679719 -2.0639527 HERACLES
1.3986188 -2.1366937 HERACLES
1.3343127 -2.1921961 HERACLES
1.2176344 -2.2324533 HERACLES
1.2341017 -2.3513899 HERACLES
1.3574895 -2.2783298 HERACLES
1.3014053 -2.2044220 HERACLES
1.0437337 -2.3975985 HERACLES
0.73143399 -2.6529455 HERACLES
0.61574149 -2.6119120 HERACLES
0.71546698 -2.5704226 HERACLES
0.82668889 -2.4957914 HERACLES
0.77063817 -2.4824553 HERACLES
0.42883354 -2.7019696 HERACLES
0.40979350 -2.5289886 HERACLES
0.39057708 -2.8433433 HERACLES
0.58540642 -2.9535809 HERACLES
0.69527882 -2.6752858 HERACLES
0.85346693 -2.5307295 HERACLES
0.97435135 -2.4770916 HERACLES
1.1481233 -2.3665469 HERACLES
1.2377324 -2.2384706 HERACLES
1.2110720 -2.1619711 HERACLES
1.2519542 -2.0794566 HERACLES
1.2780099 -2.1281135 HERACLES
1.3303169 -2.1122093 HERACLES
1.4452543 -2.0160699 HERACLES
1.4074585 -2.0723314 HERACLES
1.3317733 -2.1621480 HERACLES
1.2436877 -2.1975701 HERACLES
1.1784807 -2.2886019 HERACLES
1.2741972 -2.3406630 HERACLES
1.3069293 -2.2085574 HERACLES
1.1234891 -2.2650666 HERACLES
0.87669939 -2.4432347 HERACLES
0.78634185 -2.3979731 HERACLES
0.81905401 -2.3503675 HERACLES
0.87880182 -2.3706264 HERACLES
0.86891299 -2.4779348 HERACLES
0.56948644 -2.7314456 HERACLES
0.43031630 -2.7520185 HERACLES
0.58658862 -2.7875516 HERACLES
0.77624929 -2.6187265 HERACLES
0.88844556 -2.5602152 HERACLES
0.97102797 -2.4766331 HERACLES
1.1098881 -2.2823679 HERACLES
1.1435342 -2.2215462 HERACLES
1.1279757 -2.1285965 HERACLES
1.1975443 -2.0504241 HERACLES
1.2000350 -2.1465998 HERACLES
1.2988666 -2.1681275 HERACLES
1.3660548 -2.1459043 HERACLES
1.3095177 -2.1874094 HERACLES
1.2524207 -2.2021565 HERACLES
1.2062820 -2.1060822 HERACLES
1.2296131 -2.1795187 HERACLES
1.2338507 -2.3228965 HERACLES
1.1103137 -2.3594136 HERACLES
0.95098668 -2.4081810 HERACLES
0.89723140 -2.3412323 HERACLES
0.88821554 -2.2927947 HERACLES
0.90098584 -2.3524809 HERACLES
0.91032737 -2.4839721 HERACLES
0.73053789 -2.7971175 HERACLES
0.51042688 -2.8021498 HERACLES
0.40571651 -2.8796189 HERACLES
0.61566722 -2.7818756 HERACLES
0.80982167 -2.6580775 HERACLES
0.96132690 -2.5468392 HERACLES
1.1662595 -2.3186400 HERACLES
1.2402358 -2.2329571 HERACLES
1.1136434 -2.2818134 HERACLES
1.1008387 -2.1212292 HERACLES
1.1869820 -2.0378652 HERACLES
1.2195143 -2.1754930 HERACLES
1.2711368 -2.2978010 HERACLES
1.2377347 -2.2955470 HERACLES
1.2151699 -2.2291734 HERACLES
1.2555411 -1.9029931 HERACLES
1.2927916 -1.7233008 HERACLES
1.2485553 -1.9515077 HERACLES
1.1042001 -2.4098945 HERACLES
0.95365751 -2.4977734 HERACLES
0.90919769 -2.4034581 HERACLES
0.88368303 -2.3844545 HERACLES
0.83445323 -2.5005448 HERACLES
0.81915641 -2.5957017 HERACLES
0.73519427 -2.8300028 HERACLES
0.52296370 -2.7637341 HERACLES
0.75955147 -2.6402719 HERACLES
0.90984774 -2.5248401 HERACLES
1.0949377 -2.3836069 HERACLES
1.3028287 -2.1793213 HERACLES
1.2912604 -2.1255281 HERACLES
1.1084731 -2.1935408 HERACLES
1.1663281 -2.0447955 HERACLES
1.2612798 -2.0376005 HERACLES
1.2760742 -2.2061617 HERACLES
1.2247878 -2.3115425 HERACLES
1.2169384 -2.2659698 HERACLES
1.2721224 -1.9757924 HERACLES
1.3581796 -1.5688069 HERACLES
1.3153212 -1.6236092 HERACLES
1.1899271 -2.0496149 HERACLES
1.0433551 -2.4716313 HERACLES
0.86724830 -2.5548334 HERACLES
0.80100971 -2.5526762 HERACLES
0.77860421 -2.6815567 HERACLES
0.75788593 -2.6597121 HERACLES
0.68935823 -2.5312018 HERACLES
0.55667281 -2.6827116 HERACLES
0.55940062 -2.6104269 HERACLES
0.54798102 -2.5636847 HERACLES
0.37116107 -2.7968407 HERACLES
0.41780883 -2.7552991 HERACLES
0.68038136 -2.5103192 HERACLES
0.80038977 -2.4188948 HERACLES
0.86376458 -2.4073899 HERACLES
1.1287609 -2.1859770 HERACLES
1.2981910 -1.9263153 HERACLES
1.2494489 -1.9304533 HERACLES
1.1500539 -2.0933065 HERACLES
1.2040396 -2.0857866 HERACLES
1.2625996 -2.0999818 HERACLES
1.2078550 -2.1229112 HERACLES
1.2236929 -2.0503120 HERACLES
1.3150661 -2.0072045 HERACLES
1.3295330 -1.8357944 HERACLES
1.2681888 -1.7246811 HERACLES
1.1628387 -1.9201635 HERACLES
1.0747730 -2.3073142 HERACLES
0.88365340 -2.6152198 HERACLES
0.76419169 -2.7525799 HERACLES
0.85630029 -2.7142980 HERACLES
0.92802083 -2.5573311 HERACLES
0.86034739 -2.3114879 HERACLES
0.67564124 -2.2490151 HERACLES
0.43307769 -2.6337080 HERACLES
0.73381722 -2.4543619 HERACLES
0.87106293 -2.1655402 HERACLES
0.72516584 -2.3501632 HERACLES
0.51921463 -2.7598219 HERACLES
0.61488140 -2.5976896 HERACLES
0.71324372 -2.4240546 HERACLES
0.73599088 -2.4878657 HERACLES
0.87124586 -2.4488890 HERACLES
1.1039196 -2.1480901 HERACLES
1.2328613 -1.9009346 HERACLES
1.2208353 -1.9321212 HERACLES
1.1297156 -2.1171892 HERACLES
1.1381254 -2.1816201 HERACLES
1.1588311 -2.1079414 HERACLES
1.1743860 -1.9332632 HERACLES
1.2469491 -1.8649825 HERACLES
1.2762419 -1.9583391 HERACLES
1.1368334 -2.0437608 HERACLES
0.98512197 -2.1409001 HERACLES
0.94562709 -2.3063095 HERACLES
0.87863553 -2.5259767 HERACLES
0.78740531 -2.7382448 HERACLES
0.88753772 -2.6763055 HERACLES
1.0405550 -2.4309285 HERACLES
1.0307090 -2.3195591 HERACLES
0.87474936 -2.2452157 HERACLES
0.55528021 -2.4192982 HERACLES
0.87998146 -2.2482853 HERACLES
0.88329661 -2.1581230 HERACLES
0.64122319 -2.5208273 HERACLES
0.51725906 -2.7975821 HERACLES
0.56899840 -2.6009192 HERACLES
0.60736132 -2.5757620 HERACLES
0.65050155 -2.6990731 HERACLES
0.84367001 -2.5617614 HERACLES
1.0197678 -2.2145534 HERACLES
1.1880021 -1.9356083 HERACLES
1.2118220 -1.9061037 HERACLES
1.0994488 -2.0615995 HERACLES
1.0971586 -2.1037586 HERACLES
1.1844959 -1.9804455 HERACLES
1.1888674 -1.8968987 HERACLES
1.1893005 -1.9592701 HERACLES
1.0908692 -2.1313074 HERACLES
0.91018575 -2.2684550 HERACLES
0.84244567 -2.3525424 HERACLES
0.88518459 -2.4628277 HERACLES
0.88215923 -2.5674937 HERACLES
0.90175641 -2.6173391 HERACLES
0.98692721 -2.4597991 HERACLES
1.0172337 -2.3693461 HERACLES
0.93112624 -2.4108915 HERACLES
0.63009948 -2.5774448 HERACLES
0.82806629 -2.3461978 HERACLES
0.82428420 -2.3439691 HERACLES
0.59308451 -2.6244750 HERACLES
0.43592566 -2.7605362 HERACLES
0.44926098 -2.6516469 HERACLES
0.40378240 -2.7501683 HERACLES
0.39168638 -2.8207538 HERACLES
0.61231363 -2.7032261 HERACLES
0.92712158 -2.3120763 HERACLES
1.2490650 -1.8955835 HERACLES
1.2779098 -1.7961525 HERACLES
1.1837193 -1.8687454 HERACLES
1.2261146 -1.8829852 HERACLES
1.2293768 -1.9801099 HERACLES
1.1772406 -2.1155889 HERACLES
1.1374321 -2.2001772 HERACLES
1.0321122 -2.2665534 HERACLES
0.98056608 -2.2362027 HERACLES
1.0039178 -2.2437730 HERACLES
1.0326167 -2.3352668 HERACLES
0.95055008 -2.4830730 HERACLES
0.89443874 -2.5886462 HERACLES
0.84678823 -2.5563838 HERACLES
0.78061438 -2.6070714 HERACLES
0.60297227 -2.7324955 HERACLES
0.82236987 -2.3851137 HERACLES
0.76140624 -2.4118772 HERACLES
0.51640105 -2.7202356 HERACLES
0.42122725 -2.8341658 HERACLES
0.38887820 -2.8221035 HERACLES
0.60272080 -2.7424390 HERACLES
1.0206776 -2.2151685 HERACLES
1.2962748 -1.7746668 HERACLES
1.3203251 -1.6536465 HERACLES
1.2804832 -1.7149528 HERACLES
1.2583228 -1.8858027 HERACLES
1.1679196 -2.2223234 HERACLES
1.1491994 -2.3927186 HERACLES
1.1481426 -2.3483846 HERACLES
1.1411960 -2.2077444 HERACLES
1.1385415 -2.0555708 HERACLES
1.0967940 -2.1145597 HERACLES
0.95983028 -2.3535798 HERACLES
0.82578087 -2.6301270 HERACLES
0.75908542 -2.7934351 HERACLES
0.66065162 -2.8413246 HERACLES
0.54870707 -2.8732016 HERACLES
0.68931538 -2.4659040 HERACLES
0.58105719 -2.5735545 HERACLES
0.46369329 -2.8762193 HERACLES
0.49313307 -2.9704580 HERACLES
0.66304255 -2.7364738 HERACLES
0.94073546 -2.1112926 HERACLES
1.1380295 -1.7648189 HERACLES
1.1874762 -1.7179556 HERACLES
1.1779928 -1.8672080 HERACLES
1.0704688 -2.2233479 HERACLES
0.97509843 -2.6106648 HERACLES
0.98629159 -2.6300297 HERACLES
1.0310749 -2.4300859 HERACLES
1.1247768 -2.1732714 HERACLES
1.1252154 -2.0472450 HERACLES
0.95075548 -2.2168589 HERACLES
0.72421342 -2.5545423 HERACLES
0.71108127 -2.8430083 HERACLES
0.64760953 -2.9343114 HERACLES
0.59173232 -2.8855934 HERACLES
0.42237177 -2.9455957 HERACLES
0.58794945 -2.5484948 HERACLES
0.52190810 -2.6918912 HERACLES
0.44256470 -2.9288023 HERACLES
0.54513979 -2.8828790 HERACLES
0.47725862 -2.6336856 HERACLES
0.57179725 -2.2224352 HERACLES
0.75790435 -2.0030348 HERACLES
0.87223506 -2.0409040 HERACLES
0.87068462 -2.3601274 HERACLES
0.77430540 -2.7461917 HERACLES
0.73030305 -2.8706369 HERACLES
0.72110808 -2.7351875 HERACLES
0.85208070 -2.5539992 HERACLES
0.99052948 -2.3250332 HERACLES
0.86671615 -2.3200357 HERACLES
0.49505651 -2.5829797 HERACLES
0.39434120 -2.8226037 HERACLES
0.51019865 -2.9487634 HERACLES
0.55933392 -2.9129992 HERACLES
0.55242556 -2.8775203 HERACLES
0.45622161 -2.8912110 HERACLES
0.48260933 -2.6095107 HERACLES
0.43859002 -2.8641691 HERACLES
0.48273486 -2.9933085 HERACLES
